firm_name,hq_city,hq_state,activity_date,recent_activity,activity_source,same_entity? (you fill: yes/no/unsure),your_note
Allen Family Capital,Beverly Hills,CA,2026-03-05,"On 2026-03-05, Allen Family Capital, LLC acquired 1,803,786 common shares of Starz Entertainment Corp., representing a 10.7% stake.",https://finance.yahoo.com/news/allen-family-capital-llc-enters-220800288.html,,
Blue Haven Initiative,Cambridge,MA,2026-06-17,"Blue Haven Initiative was featured in its Issue 8 Summer 2026 newsletter, highlighting an investment spotlight on Enduring Planet and discussing its climate-focused investment approach.",http://www.bluehaveninitiative.com/perspectives/newsletter/issue-8-summer-20261/,,
Council Ring Capital,Chicago,IL,2024-09-03,"On 2024-09-03, Council Ring Capital acted as lead investor in DevCo Partners Ltd's €616 million investment vehicle to support the continued growth of Medix Biochemica.",https://www.willkie.com/news/2024/09/willkie-advises-council-ring-capital-on-lead-investment-in-devco-capital-raise-for-medix-biochemica,,
Dalio Family Office,Westport,CT,2026-02-20,"On 2026-02-20, Ray Dalio's family office disclosed a $500 million bet on U.S. stocks, revealing its U.S. equity investments for the first time since the pandemic.",https://www.bloomberg.com/news/articles/2026-02-20/ray-dalio-s-family-office-reveals-500-million-bet-on-us-stocks,,
Duquesne Family Office,New York,NY,2026-05-19,"On 2026-05-19, Institutional Investor reported that Duquesne Family Office adjusted its public-equity portfolio, cutting back some positions and initiating new bets as disclosed in its latest 13F filing.",https://www.institutionalinvestor.com/article/duquesne-family-office-cuts-back-then-loads-new-bets,,
Esrick Enterprises,West Palm Beach,FL,2024-04-22,"Esrick Enterprises posted a full-time Accounting Manager/Controller job opening in Beach, Florida, indicating an expansion of its internal finance team.",https://www.career.com/job/esrick-enterprises/accounting-manger-controller/j202403280157155514799,,
Frazier Group,Lehi,UT,2025-08-26,"On 2025-08-26, Frazier Group participated in Sequifi’s $6.7 million seed funding round led by Cervin Ventures.",https://www.frazier.vc/post/sequifi,,
Highlander Partners,Dallas,TX,2026-07-06,"On July 6, 2026, Highlander Partners announced the sale of its defense technology business, Dzyne Technologies, to Ondas.",https://highlander-partners.com/news/,,
Lupine Crest Capital,Aspen,CO,2026-06-17,"On 2026-06-17, Lupine Crest Capital significantly increased its investment in Brazilian waste-to-energy company Orizon.",https://finance.yahoo.com/energy/articles/lupine-crest-capital-family-office-215200154.html,,
Nickolas Asset Management,Sarasota,FL,2026-03-03,"On 2026-03-03, Nickolas Asset Management acquired Associated Plastics Corporation to expand its Ohio manufacturing footprint.",https://www.nickolas.com/news-articles/nickolas-asset-management-acquires-associated-plastics-corporation,,
Vinik Family Office,Tampa,FL,2023-09-18,"On 2023-09-18, news reported that former Vinik Family Office president Jim O'Connell is launching a new investment firm with his Plant High School classmate Mark Gruetzmacher.",https://www.bizjournals.com/tampabay/news/2023/09/18/jim-oconnell-launches-investment-firm-vinik.html,,
119th Street Capital,,IN,2025-10-09,"On 2025-10-09, 119th Street Capital made a strategic investment in DSWD, LLP.",https://www.businesswire.com/news/home/20251008488581/en/DSWD-Announces-Strategic-Investment-from-119th-Street-Capital,,
Access Industries,New York,NY,2026-07-08,"As of July 8, 2026, Access Industries is profiled with updated details on its top investments and portfolio trends by Tracxn.",https://tracxn.com/d/venture-capital/access-industries/__xRKb_6QuSCVR0r-0FMZMn583PBvDeZDVBROCpK7eFxY,,
Alpine AM,Zephyr Cove,NV,2026-04-21,"On 2026-04-21, Alpine AM reported plans to allocate up to $4 billion across direct, indirect and co-investments over the next five to eight years.",https://www.agriinvestor.com/field-notes-forward-consumer-partners-rides-lp-demand-for-durable-brands-alpine-am-family-office-plans-to-allocate-up-to-4bn/,,
Anschutz Investment Company,Denver,CO,2019-03-01,Anschutz Investment Company participated in a $45.0M Series D funding round in Movius in March 2019.,https://startupintros.com/orgs/anschutz-investment-company,,
Carter Family Office,L Compton,RI,2026-01-28,"On 2026-01-28, MandateWire’s AOX blog featured Carter Family Office in a discussion on why asset owner investment in commodities may be self-defeating.",https://www.help.mandatewire.com/aox-blog/g6ixm627upsp1dv6txgmu1dh6sr0m0,,
CYMI Holding,Dayton,OH,2026-03-18,Financial statements for 2025 and 2024 referencing CYMI Holding S.A. and related entities were published by State Grid Brazil Holding.,https://stategrid.com.br/wp-content/uploads/2026/03/DFs-ATE-31.12.2025_V4_Dev.EY-260312_041008.344_Secured.pdf,,
Oberndorf Ventures,San Francisco,CA,2021-11-01,"In November 2021, Oberndorf Ventures co-led a USD 90 million Series B funding round in Tegus, Inc.",https://www.preqin.com/data/profile/asset/tegus-inc-/456334,,
Stuller Family Office,Lafayette,LA,2025-04-01,"In April 2025, Stuller Family Office hired Rebekah Hargroder Johnson as an Investment Analyst.",https://www.linkedin.com/in/rebekah-hargroder-b736a6120,,
Badar Family Office,Tampa,FL,2025-12-19,"On 2025-12-19, Badar Family Office, via its ownership of ZT Corporate, was referenced in a Business Wire release announcing corporate news related to ZT Corporate.",https://ztcorporate.com/news/,,
Berritto Family Office,Miami,FL,2026-02-25,Berritto Family Office acquired a mixed-use office/retail portfolio in Boca Raton for approximately $92.7–$93 million.,https://therealdeal.com/miami/2026/02/25/berritto-family-office-pays-93-million-for-boca-raton-retail/,,
Mitchell Family Office,Birmingham,MI,2025-09-01,"In September 2025, Birmingham, Michigan-based Mitchell Family Office acquired luxury beauty retailer Cos Bar for an undisclosed amount.",https://www.cnbc.com/2025/10/09/family-offices-still-bet-on-ai-and-health-care-even-as-deals-slow-down.html,,
Zell Family Office,Chicago,IL,2024-10-07,"On October 7, 2024, The FO Pro published an article profiling the Zell Family Office head’s philosophy that family wealth represents 'concentrated potential' and outlining the office’s mission to steward family well-being.",https://thefopro.com/zell-family-office-head-wealth-is-concentrated-potential/,,
Lewis & Clark Capital,St. Louis,MO,2025-11-03,"On 2025-11-03, Lewis & Clark Capital announced the addition of J.P. Lynch to its investment team.",https://www.businesswire.com/news/home/20251103006554/en/Lewis-Clark-Capital-Announces-Addition-to-Team,,
Kao Family Office,Los Angeles,CA,2024-09-04,Kao Family Office made a seed investment in Anytime AI.,https://www.cbinsights.com/investor/kao-family-office,,
"White Oak Enterprises, Inc. (Bainum Family Office)",Washington,DC,2023-10-23,"On 2023-10-23, the Bainum family office hired Patrick George to lead the restructured family office, succeeding longtime executive Christine Shreve.",https://www.whiteoakoffice.com/bainum-family-hires-patrick-george/,,
Beemok Capital,Charleston,SC,2025-07-31,"On July 31, 2025, Beemok Capital launched a startup pitch competition offering up to $1 million for local companies.",https://www.cbinsights.com/investor/beemok-capital,,
Heinz Family Office,Pittsburgh,PA,2025-09-30,"On September 30, 2025, Institutional Investor reported that Heinz Family Office CIO McCall Cravens was named the 2025 Family Office Investor of the Year.",https://www.institutionalinvestor.com/article/heinzs-mccall-cravens-importance-manager-selection,,
Schultz Capital Partners,Seattle,WA,2025-04-10,Schultz Capital Partners participated in the Series B-II funding round of Culture Pop Soda on 2025-04-10.,https://www.cbinsights.com/investor/schultz-capital-partners,,
Arcadia Investment Partners,New York City,NY,2025-12-04,Arcadia Investment Partners made an investment in Siena Plastics on 2025-12-04.,https://pitchbook.com/profiles/investor/119370-97,,
Caprock,Boise,ID,2025-06-05,"On 2025-06-05, Caprock appointed Vivek Jindal as its new chief investment officer.",https://www.newprivatemarkets.com/in-brief-caprock-names-cio/,,
Corient,,,2026-05-13,"On May 13, 2026, Corient announced the acquisition of Capital Advisors, a Tulsa, Oklahoma wealth manager with $7.8 billion in client assets, expanding its presence in the U.S. Southwest.",https://www.businesswire.com/news/home/20260513815757/en/Corient-Announces-Acquisition-of-Capital-Advisors-Expanding-its-Presence-in-the-U.S.-Southwest,,
Laird Norton Wetherby,Seattle,WA,2024-01-11,"On 2024-01-11, Laird Norton Wealth Management and Wetherby Asset Management announced they had united their six offices under the single brand Laird Norton Wetherby.",https://lnwadvisors.com/laird-norton-wetherby-unite-six-offices-under-new-brand/,,
AC Family Office,Denver,CO,2026-05-20,"On May 20, 2026, AC Family Office recruited Henry Pizzutello to expand its presence in The Woodlands and Beaumont regions.",https://www.morningstar.com/news/pr-newswire/20260520ny64306/ac-family-office-recruits-henry-pizzutello-to-expand-presence-in-the-woodlands-and-beaumont-regions,,
AlTi Global,,,2026-05-12,"On 2026-05-12, WealthBriefing reported that a significant valuation gap of around $600 million or more is hampering efforts to sell all or parts of AlTi Global to take the company private.",https://www.wealthbriefing.com/html/article.php/huge-valuation-gap-hampers--alti-global-sale,,
